#id1,id2,weight
Highbury:1,RSTN,1
High:3,RSTN,1
Herne:0,RSTN,1
Hendon:1,RSTN,1
Harrow:4,RSTN,1
Harlesden:1,RSTN,1
Hanwell:1,RSTN,1
Hampstead:5,RSTN,1
Hadley:0,RSTN,1
Hackney:3,RSTN,1
Goodmayes:2,RSTN,1
Forest:3,RSTN,1
Cray:2,RSTN,1
Finsbury:2,RSTN,1
Finchley:6,RSTN,1
Fenchurch:0,RSTN,1
Fairlop:0,RSTN,1
Euston:0,RSTN,1
railway,RSTN,1
Enfield:4,RSTN,1
Lock:4,RSTN,1
Town:4,RSTN,1
Eltham:1,RSTN,1
Elstree:2,RSTN,1
Elmers:1,RSTN,1
Edmonton:1,RSTN,1
East:4,RSTN,1
Court:8,RSTN,1
Ealing:4,RSTN,1
Deptford:2,RSTN,1
Dagenham:0,RSTN,1
Cricklewood:1,RSTN,1
Clapham:3,RSTN,1
Chiswick:3,RSTN,1
Chislehurst:1,RSTN,1
Chingford:1,RSTN,1
Charing:0,RSTN,1
Catford:1,RSTN,1
Cannon:0,RSTN,1
Palace:5,RSTN,1
Bromley:3,RSTN,1
Brimsdown,RSTN,1
Brentford:2,RSTN,1
Borehamwood:1,RSTN,1
Blackfriars:0,RSTN,1
Bickley:1,RSTN,1
Bexleyheath:1,RSTN,1
Bermondsey:2,RSTN,1
Beckenham:1,RSTN,1
Barnes:3,RSTN,1
Barking:5,RSTN,1
Balham:1,RSTN,1
Bexley:1,RSTN,1
Camden:3,RSTN,1
Merton:3,RSTN,1
Mary:1,RSTN,1
Stadium:2,RSTN,1
White:2,RSTN,1
Hart:1,RSTN,1
&:4,RSTN,1
Johns:2,RSTN,1
House:6,RSTN,1
Kingston:3,RSTN,1
Blackheath:1,RSTN,1
Central:3,RSTN,1
International:2,RSTN,1
Homerton:1,RSTN,1
Chadwell:2,RSTN,1
Oak:2,RSTN,1
Chase:1,RSTN,1
Elmstead,RSTN,1
Woods,RSTN,1
Angel:1,RSTN,1
Manor:1,RSTN,1
James:1,RSTN,1
Gate:2,RSTN,1
Queen's:1,RSTN,1
Grange:2,RSTN,1
Alexandra:2,RSTN,1
Vauxhall:3,RSTN,1
Queens:2,RSTN,1
Imperial:1,RSTN,1
Cambridge:2,RSTN,1
Shepherd's:1,RSTN,1
Canary:2,RSTN,1
Wharf:2,RSTN,1
Farringdon:2,RSTN,1
Abbey:2,RSTN,1
Peckham:1,RSTN,1
Rye:1,RSTN,1
Old:4,RSTN,1
Battersea:3,RSTN,1
Arsenal:2,RSTN,1
Hampton:1,RSTN,1
Crouch:1,RSTN,1
Kilburn:1,RSTN,1
Kentish:1,RSTN,1
Barnsbury:1,RSTN,1
Mottingham:1,RSTN,1
Tooting:1,RSTN,1
Surbiton:1,RSTN,1
Brixton:5,RSTN,1
Bethnal:1,RSTN,1
Elephant:1,RSTN,1
Castle:1,RSTN,1
Leytonstone:3,RSTN,1
Crystal:1,RSTN,1
Midland,RSTN,1
Dalston:1,RSTN,1
Brockley:1,RSTN,1
Broadway:1,RSTN,1
Honor:1,RSTN,1
Nunhead:1,RSTN,1
Wapping:1,RSTN,1
Penge:1,RSTN,1
Kensal:1,RSTN,1
Surrey:1,RSTN,1
Quays:3,RSTN,1
Sundridge,RSTN,1
Clock,RSTN,1
Ladywell:0,RSTN,1
Bellingham,RSTN,1
Ravensbourne,RSTN,1
Shortlands:1,RSTN,1
Kent:0,RSTN,1
Birkbeck:1,RSTN,1
Custom:2,RSTN,1
Anerley:0,RSTN,1
Selhurst:0,RSTN,1
Crofton:0,RSTN,1
Hither:0,RSTN,1
Lee:0,RSTN,1
Canning:1,RSTN,1
Westcombe,RSTN,1
Charlton:0,RSTN,1
Falconwood,RSTN,1
Stations,RSTN,1
Dockyard,RSTN,1
Albany,RSTN,1
Main:0,RSTN,1
Line,RSTN,1
Berrylands,RSTN,1
Blackhorse:0,RSTN,1
Bowes,RSTN,1
Brondesbury,RSTN,1
Bruce,RSTN,1
Caledonian:0,RSTN,1
Canonbury,RSTN,1
Bar,RSTN,1
Thameslink:0,RSTN,1
Kingsland:0,RSTN,1
Denmark:0,RSTN,1
Drayton,RSTN,1
Earlsfield:0,RSTN,1
Essex,RSTN,1
Frognal,RSTN,1
Fulwell,RSTN,1
Gipsy,RSTN,1
Gordon,RSTN,1
Gospel,RSTN,1
Greenford:0,RSTN,1
Gunnersbury:0,RSTN,1
Downs,RSTN,1
Wick:0,RSTN,1
Harringay:0,RSTN,1
Lanes,RSTN,1
Harrow-on-the-Hill:0,RSTN,1
Haydons,RSTN,1
Highams:0,RSTN,1
Rise,RSTN,1
Loughborough,RSTN,1
Maryland,RSTN,1
Eastfields,RSTN,1
Moorgate:0,RSTN,1
Mortlake:0,RSTN,1
Motspur,RSTN,1
Norbiton:0,RSTN,1
Sheen:0,RSTN,1
Northumberland,RSTN,1
Oakleigh,RSTN,1
Queenstown,RSTN,1
Rectory,RSTN,1
Margarets,RSTN,1
Sisters:0,RSTN,1
Silver,RSTN,1
Southbury,RSTN,1
Stamford:0,RSTN,1
Stonebridge:0,RSTN,1
Hale:0,RSTN,1
Tulse,RSTN,1
Woodgrange,RSTN,1
Train,RSTN,1
Haggerston,RSTN,1
Rail:0,RSTN,1
Mainline,RSTN,1
Park:8,MTRO,1
Woolwich:2,MTRO,1
Wood:4,MTRO,1
Green:3,MTRO,1
Woodford:2,MTRO,1
Hill:6,MTRO,1
Wimbledon:3,MTRO,1
Common:2,MTRO,1
Willesden:4,MTRO,1
Whitechapel:2,MTRO,1
Whetstone:1,MTRO,1
West:2,MTRO,1
Station:1,MTRO,1
City:6,MTRO,1
Westminster:7,MTRO,1
Kensington:0,MTRO,1
Underground:0,MTRO,1
Ham:4,MTRO,1
Brompton:3,MTRO,1
Wembley:4,MTRO,1
Wealdstone:2,MTRO,1
Waterloo:5,MTRO,1
Wanstead:2,MTRO,1
Walthamstow:2,MTRO,1
London:19,MTRO,1
Victoria:7,MTRO,1
Upton:3,MTRO,1
Holloway:2,MTRO,1
Tower:5,MTRO,1
Bridge:3,MTRO,1
Totteridge:1,MTRO,1
Tottenham:3,MTRO,1
Hyde:3,MTRO,1
Lane:4,MTRO,1
Sudbury:2,MTRO,1
Stratford:2,MTRO,1
Grove:2,MTRO,1
Stepney:1,MTRO,1
Stanmore:2,MTRO,1
Southwark:5,MTRO,1
South:1,MTRO,1
Southgate:2,MTRO,1
Snaresbrook:1,MTRO,1
Silvertown:1,MTRO,1
Bush:4,MTRO,1
Seven:2,MTRO,1
Pancras:2,MTRO,1
St:6,MTRO,1
John's:2,MTRO,1
Roding:1,MTRO,1
Richmond:8,MTRO,1
Putney:5,MTRO,1
Dock:2,MTRO,1
Preston:1,MTRO,1
Poplar:1,MTRO,1
End:4,MTRO,1
Perivale:1,MTRO,1
Parsons,MTRO,1
Paddington:3,MTRO,1
Oxford:0,MTRO,1
Circus:0,MTRO,1
Notting:1,MTRO,1
North:3,MTRO,1
Greenwich:0,MTRO,1
Acton:2,MTRO,1
Cross:2,MTRO,1
Barnet:1,MTRO,1
Neasden:1,MTRO,1
Morden:1,MTRO,1
Mitcham:2,MTRO,1
Junction:3,MTRO,1
Mill:1,MTRO,1
Marylebone:3,MTRO,1
Maida:0,MTRO,1
Vale:0,MTRO,1
Loughton:1,MTRO,1
Liverpool:1,MTRO,1
Street:6,MTRO,1
Limehouse:2,MTRO,1
Leyton:2,MTRO,1
Lewisham:4,MTRO,1
King's:3,MTRO,1
Kingsbury:0,MTRO,1
Kew:4,MTRO,1
Gardens:3,MTRO,1
Kenton:3,MTRO,1
Islington:4,MTRO,1
Road:0,MTRO,1
Holborn:4,MTRO,1
Highgate:1,MTRO,1
Highbury:2,MTRO,1
High:0,MTRO,1
Hendon:2,MTRO,1
Harrow:5,MTRO,1
Harlesden:2,MTRO,1
Hampstead:6,MTRO,1
Hammersmith:5,MTRO,1
Great:4,MTRO,1
Fulham:3,MTRO,1
Finsbury:3,MTRO,1
Finchley:4,MTRO,1
Fairlop:2,MTRO,1
Euston:1,MTRO,1
Town:3,MTRO,1
Elmers:2,MTRO,1
Edgware:2,MTRO,1
East:6,MTRO,1
Earl's:0,MTRO,1
Court:0,MTRO,1
Ealing:5,MTRO,1
Dollis:1,MTRO,1
Deptford:1,MTRO,1
Dagenham:2,MTRO,1
Covent:3,MTRO,1
Garden:4,MTRO,1
Cockfosters:1,MTRO,1
Clapham:4,MTRO,1
Chiswick:4,MTRO,1
Chigwell:1,MTRO,1
Charing:3,MTRO,1
Cannon:2,MTRO,1
Buckhurst:1,MTRO,1
Brent:0,MTRO,1
Bow:3,MTRO,1
Blackwall:3,MTRO,1
Reach:1,MTRO,1
Blackfriars:2,MTRO,1
Bermondsey:3,MTRO,1
Beckton:1,MTRO,1
Beckenham:2,MTRO,1
Barkingside:1,MTRO,1
Barking:6,MTRO,1
Balham:2,MTRO,1
Camden:4,MTRO,1
Royal:11,MTRO,1
Lambeth:5,MTRO,1
Merton:2,MTRO,1
Redbridge:1,MTRO,1
Church:2,MTRO,1
Cottage:2,MTRO,1
White:3,MTRO,1
Valley:1,MTRO,1
&:5,MTRO,1
House:7,MTRO,1
St.:3,MTRO,1
Sloane:2,MTRO,1
Northwick:1,MTRO,1
Central:2,MTRO,1
King:2,MTRO,1
George:2,MTRO,1
Oak:3,MTRO,1
Farm:2,MTRO,1
Airport:1,MTRO,1
Angel:3,MTRO,1
Manor:2,MTRO,1
Belgrave:1,MTRO,1
Piccadilly:3,MTRO,1
Russell:1,MTRO,1
Gate:3,MTRO,1
Bayswater:2,MTRO,1
Queen's:2,MTRO,1
Square:3,MTRO,1
Grange:3,MTRO,1
Marble:2,MTRO,1
Arch:2,MTRO,1
Olympia:2,MTRO,1
Lancaster:1,MTRO,1
Regent:1,MTRO,1
Vauxhall:4,MTRO,1
Queensway:1,MTRO,1
Prince:2,MTRO,1
Shepherd's:2,MTRO,1
Canary:3,MTRO,1
Wharf:3,MTRO,1
Farringdon:3,MTRO,1
India:1,MTRO,1
Quay:1,MTRO,1
Oakwood:2,MTRO,1
Warwick:1,MTRO,1
Knightsbridge:2,MTRO,1
Colliers:2,MTRO,1
Abbey:4,MTRO,1
And:1,MTRO,1
Oval:2,MTRO,1
Kennington:1,MTRO,1
Pimlico:1,MTRO,1
Bank:2,MTRO,1
James's:1,MTRO,1
Brook:1,MTRO,1
Holland:2,MTRO,1
Paul's:1,MTRO,1
All:1,MTRO,1
Temple:2,MTRO,1
Borough:1,MTRO,1
Market:1,MTRO,1
Regent's:1,MTRO,1
Albert:3,MTRO,1
Old:5,MTRO,1
Swiss:2,MTRO,1
Arsenal:1,MTRO,1
Kilburn:2,MTRO,1
Belsize:1,MTRO,1
Chalk:1,MTRO,1
Tufnell:1,MTRO,1
Kentish:2,MTRO,1
Barbican:2,MTRO,1
Shadwell:1,MTRO,1
Stockwell:1,MTRO,1
Tooting:2,MTRO,1
Hainault:1,MTRO,1
Becontree:1,MTRO,1
Brixton:6,MTRO,1
Bond,MTRO,1
Bethnal:2,MTRO,1
Mile:1,MTRO,1
Baker:1,MTRO,1
Island:1,MTRO,1
Elephant:2,MTRO,1
Castle:2,MTRO,1
Leytonstone:4,MTRO,1
Broadway:2,MTRO,1
Southfields:1,MTRO,1
Kensal:2,MTRO,1
Quays:1,MTRO,1
Tramlink,MTRO,1
Stop,MTRO,1
Avenue:0,MTRO,1
Birkbeck:0,MTRO,1
Harrington:0,MTRO,1
Arena:0,MTRO,1
Mornington:1,MTRO,1
Gloucester:1,MTRO,1
Corner:1,MTRO,1
Custom:1,MTRO,1
Newbury:1,MTRO,1
Aldgate:0,MTRO,1
DLR,MTRO,1
Walk:0,MTRO,1
Phipps,MTRO,1
Dundonald,MTRO,1
Elverson,MTRO,1
Cutty:0,MTRO,1
